"<label>Make Check payable to:</label> %s","<label>Rendi vaglia postale pagabile a:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Rendi vaglia postale pagabile a</label>: %s"
"Check / Money order","Vaglia postale"
"Send Check to","vaglia postale Inviato a"
"Send Check to:","Invia vaglia postale a:"
"Make Check payable to","Rendi vaglia postale pagabile a"
"Make Check payable to: %s","Rendi vaglia postale pagabile a: %s"

"Additional Information","Scheda tecnica"
"The subscription was successfully saved","Il cambiamento nella sottoscrizione è avvenuto con successo"

"You will be redirected to Paypal in a few seconds.","Entro pochi secondi sarai trasferito al sito di Paypal."

"Pending","In Attesa"
"Pending Payment","In attesa del pagamento"
"Pending PayPal","In Attesa (Pagamento PayPal Ricevuto)"
"Pending (Payment received)","In Attesa (Pagamento Ricevuto)"
"Shipping","In Consegna"
"Processing","In corso"
"Processing (paid)","In corso (Pagamento ricevuto)"
"Processing (Sent)","In corso (Spedito)"
"Processing (Sent COD)","In corso (Spedito contrassegno)"
"Processing (Partially Sent)","In corso (Spedito parzialmente)"
"Processing (Partially Sent COD)","In corso (Spedito parzialmente contrassegno)"
"On Hold","In Sospeso"

"You will be redirected to GestPay gateway after placing the order.","Dopo aver inserito l'ordine verrai inviato sul sito di Banca Sella per effettuare il pagamento."

"Check items to add to the cart or","Puoi selezionare gli articoli correlati che intendi aggiungere al Carrello insieme al prodotto che stai osservando, oppure utilizza il pulsante “Aggiungi ai Preferiti” per valutarne l’acquisto anche in secondo momento. "
"select all","Seleziona tutto..."
"unselect all","Deseleziona tutto..."
"Availability","Disponibilità"
"We also recommend","Articoli Raccomandati"
"Regular Price:","Prezzo:"
"Special Price","Prezzo Scontato"
"Remove","Rimuovi"

"Ship to different address","Spedisci all'indirizzo di spedizione registrato"
"Ship to this address","Spedisci all'indirizzo di fatturazione"

"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Questo è un negozio demo. Gli ordini emessi attraverso questo negozio non saranno rispettati o eseguiti.<br/> Visita <a href='http://www.sportizzare.it/' style='font-weight:bold; color:#cccccc;' >www.sportizzare.it</a> per la versione reale."
"Payment Information","Modalit&agrave; di Pagamento"
"Shipping Method","Modalit&agrave; di Consegna"

"Browse By","Catalogo Sezione"
"Shop by","Catalogo Reparto"
"Currently Shopping by:","Selezione attuale per:"
"Currently Shopping by","Opzioni Attive"
"Shopping Options","Seleziona per:"
"TAX/VAT Number","Partita IVA/Codice fiscale"
"Tax/VAT number","Partita IVA/Codice fiscale"
"TAX/VAT number is required.","Partita IVA/Codice fiscale è necessario."
"Show Tax/VAT number","Mostra la Partita IVA/Codice fiscale"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">continua gli acquisti</a>."

"Enter your destination to get a shipping estimate.","Inserisci il luogo di destinazione per calcolare eventuali spese di spedizione, oppure procedi al Checkout per visualizzare in seguito le opzioni consegna disponibili.<br/> Per maggiori info su condizioni e modalità di trasporto <a href='/spedizioni.html'>clicca qui...</a>"
"Estimate Shipping and Tax","Calcola Spese di Spedizione"
"Shipping & Handling","Spedizione"
"Shipping & Handling:","Spedizione:"
"Some of the products can not be ordered in requested quantity","Alcuni di questi prodotti non possono essere ordinati nella quantità richiesta"
"Some of the products cannot be ordered in the requested quantity","Alcuni di questi prodotti non possono essere ordinati nella quantità richiesta"
"This product is not available in the requested quantity. %d of the items will be backordered.","Una quantità di %d di questo prodotto non è disponibile pronta consegna, ma a breve termine è previsto un riassortimento di magazzino. Effettuando l'acquisto, verrai informato via e-mail circa i tempi di consegna e potrai decidere se attendere oppure annullare l'ordine."
"Double click on above image to view full picture","Doppio click sull'immagine per ingrandire"
"My Cart (%s item)","Carrello (%s articolo ddd)"
"My Cart (%s items)","Carrello (%s articoli ddd)"
"Products per Page on List default value","Numero predefinito di Prodotti per Pagina in vista Dettagliata"
"Products per Page on Grid default value","Numero predefinito di Prodotti per Pagina in vista Elenco"
"View as","Visualizza come"
"Add Your Review","Aggiungi il tuo Commento"
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa il tasto spazio per separare i tags.<br/>Usa le virgolette (') per i tags composti da più di una parola."
"Search entire store here...","Cerca in tutto il negozio..."
"Invoice","Fattura"
"Invoice #","Fattura Numero:"
"Invoice # ","Fattura Numero: "
"Invoice #%s","Fattura Numero: %s"
"Invoice Date: ","Data Fattura: "

"Order # ","Ordine Numero: "
"Order #","Ordine Numero:"
"Order # %s","Ordine Numero: %s"
"Order # %s | Order Date %s","Ordine Numero: %s | Data Ordine: %s"
"Order #%s","Ordine Numero: %s"
"Order #%s - %s","Ordine numero%s - <small><em>%s</em></small>"
"Checkout","Vai alla cassa"
"My Cart","Carrello"
"My Cart (%s item)","Carrello (<span>%s</span>)"
"My Cart (%s items)","Carrello (<span>%s</span>)"
"My Cart Link","Link al carrello"
"Customer My Account My Tags List","Account dell'utente - La mia lista tag"
"Customer My Account Tag View","Account dell'utente - Visualizza tag "
"Customer My Account (All Pages)","Account dell'utente (tutte le pagine)"
"Customer My Account Dashboard","Account dell'utente - Bacheca"
"My Account","Area clienti"
"Login or Create an Account","Effettua il login o registrati"
"* Required Fields","* Campi Obbligatori"
"Search","Cerca"
"Reset a Password","Cambia la password"
"Log In","Login"
"Login","Login"
"Log Out","Logout"
"Subscribe","Iscriviti"
"Recently Viewed Products","Prodotti visti di recente"
"Add to Compare","Aggiungi al Confronto"
"Compare","Confronta"
"Items %s to %s of %s total","Da %s a %s dei <strong>%s</strong> prodotti disponibili in questo reparto"
"%s Item(s)","%s articoli selezionati"
"Popular Tags","Tag popolari"
"Email to a Friend","Consiglialo via email ad un amico"
"Be the first to review this product","Diventa il primo a recensire questo prodotto"
"Sign up for price alert","Avvisami via Email se il prezzo diminuisce"
"You're reviewing:","Stai recensendo:"
"Summary of Your Review","La tua valutazione in breve"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Con la registrazione potrai procedere agli acquisti più velocemente, memorizzare indirizzi di consegna multipli, controllare in tempo reale i tuoi ordini e tanto altro ancora."
"If you have an account with us, please log in.","Se hai già un account, esegui l'accesso."
"The alert subscription has been saved.","L'iscrizione all'avviso è stata salvata."
"Recipient:","Destinatario:"
"My Wishlist","Preferiti"
"My Wishlist (%d item)","Preferiti (<span>%d</span>)"
"My Wishlist (%d items)","Preferiti (<span>%d</span>)"
"My Wishlist <small>(%d)</small>","Preferiti <small>(%d)</small>"
"My Wishlist Link","Link ai preferiti"
"Zip/Postal Code","CAP/Codice postale"
"Ship to this address","Spedisci all'indirizzo di fatturazione"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" onclick=""this.target=\'_blank\'"">qui per stampare</a> una copia della conferma dell\'ordine."
"Grand Total (Excl. Tax)","Totale complessivo (IVA esclusa)"
"Grand Total (Excl.Tax)","Totale complessivol (IVA esclusa)"
"Grand Total (Incl. Tax)","Totale complessivo (IVA inclusa)"
"Grand Total (Incl.Tax)","Totale complessivo (IVA inclusa)"
"Grand Total Excl. Tax","Totale complessivo IVA esclusa"
"Grand Total Incl. Tax","Totale complessivo IVA inclusa"
"Importa / Esporta Tax Rates","Import / Export Tax Rates"
"Import Tax Rates","Import Tax Rates"
"Inc. Tax"," IVA inclusa"
"Incl. Tax"," IVA inclusa"
"Incl. Tax:"," IVA inclusa:"
"Tax","IVA 21%"
"Go","Go»"
"There is an error in one of the option rows.","C'è un errore in una delle righe di opzione."
"There is <a href=""%s"">1 item</a> in your cart.","C'è <a href=""%s"">1 articolo</a> nel tuo carrello."
"Recently added item(s)","Articoli aggiunti di recente"
"List","Dettagli"
"Grid","Lista"
"Page:",""
"Sort By","Ordina per: "
"Posizione","Nuovi arrivi"
"Title","Ordine alfabetico"
"Lower prices","Prezzi più bassi"
"Higher prices","Prezzi più alti"
"%d Reviews","%d Recensioni"
"%d Review","%d Recensione"
"%s Review(s)","%s recensioni"
"You are not logged in: ","Non hai effettuato l'accesso: "
"Welcome, %s!","Benvenuto %s "
"Choose your price segment","Scegli la fascia prezzo"
"Your price","PREZZO SU MISURA:"
"Find","VAI »"
"From","Da"
"More ...","[ Mostra tutto ]"
"Less ...","[ Mostra principali ]"
"Show","Mostra:"
"Items %s to %s of %s total","Da %s a %s dei %s articoli disponibili in questa categoria"
"Learn More","Visualizza prodotto..."
"Qty:","Nr:"
"Choose Product Options","Opzioni acquisto prodotto"
"Price as configured","Importo totale in base alla selezione"
"Details","Descrizione prodotto"
"Product tags description","I clienti che visitano il nostro negozio possono aggiungere uno o più tag che descrivano, a proprio giudizio, le caratteristiche di maggior rilievo del prodotto che stanno osservando. I tag popolari (cioè quelli assegnati maggiormente a più prodotti) permetteranno ad altre persone di visualizzare tutti gli articoli che contengono quella determinata caratteristica descritta all'interno del tag."
"You may also be interested in the following product(s)","Prodotti simili da considerare"
"Add to Wishlist","Aggiungi ai Preferiti"
"Related Products","Prodotti associabili"

"Order status","Stato ordini"
"Advanced search","Ricerca avanzata"
"Cart Subtotal:","Totale carrello:"
"Move to Wishlist","Aggiungi ai preferiti"
"Edit item parameters","Modifica opzioni"
"Sign up for our newsletter","Iscriviti alla nostra <strong>Newsletter</strong> e ricevi subito un <em>buono sconto del 15%</em>"
